"prefix","stress","pdiff_grad_mean","pdiff_grad_sd","pdiff_grad_max","pdiff_grad_min","steps_impr_mean","steps_impr_sd","steps_impr_max","steps_impr_min","percent_paths_complete"
"avlja","8","-21.7","15.8","51.3","-79.8","93.5","8.9","100","62.3","6.25"
"avlja","16","-49.5","24.2","28.6","-97","96.2","7.2","100","70.7","25"
"avlja","32","-69.3","28.8","48","-99.7","96","8.7","100","63.9","18.75"
"bst","8","-55.3","24.4","35.6","-96.5","98.5","2.3","100","91.9","31.25"
"bst","16","-70.1","23.5","30.1","-99.4","98.6","2.8","100","89","43.75"
"bst","32","-82.4","22.8","15.6","-100","99","0.8","100","97.6","18.75"
"composite","4","-61.3","26.3","28.5","-98.8","98.9","1.1","100","96.9","31.25"
"composite","8","-83.9","19.5","12.1","-100","99","1.1","100","96.9","43.75"
"composite","16","-92.6","16.6","6.6","-100","98.9","1.2","100","95.7","25"
"list","8","-20.1","15.2","21.5","-80.1","94.7","6.2","100","81.5","25"
"list","16","-50.3","26.5","10","-98.6","98.9","2.3","100","90.7","62.5"
"list","32","-68.5","34.7","4.3","-100","99.1","2.1","100","91.7","56.25"
