stress,mean,stdev,min,max,
0,282854458,0.0,282854458,282854458,
10,169486667,0.0,169486667,169486667,
20,95273375,0.0,95273375,95273375,
30,64250250,0.0,64250250,64250250,
40,210273583,0.0,210273583,210273583,
50,89344834,0.0,89344834,89344834,
60,62383333,0.0,62383333,62383333,
70,93564458,0.0,93564458,93564458,
80,70704167,0.0,70704167,70704167,
90,223395291,0.0,223395291,223395291,
100,72832667,0.0,72832667,72832667,
110,90201208,0.0,90201208,90201208,
120,73373250,0.0,73373250,73373250,
130,90195417,0.0,90195417,90195417,
140,259028875,0.0,259028875,259028875,
150,178165375,0.0,178165375,178165375,
160,63761792,0.0,63761792,63761792,
170,89408167,0.0,89408167,89408167,
180,247005416,0.0,247005416,247005416,
190,68879875,0.0,68879875,68879875,
200,92060708,0.0,92060708,92060708,
210,72257625,0.0,72257625,72257625,
220,94547542,0.0,94547542,94547542,
230,203756417,0.0,203756417,203756417,
240,87888500,0.0,87888500,87888500,
250,75262583,0.0,75262583,75262583,
260,108434625,0.0,108434625,108434625,
270,67830084,0.0,67830084,67830084,
280,197127584,0.0,197127584,197127584,
290,239938375,0.0,239938375,239938375,
300,66252208,0.0,66252208,66252208,
310,72650917,0.0,72650917,72650917,
320,187725000,0.0,187725000,187725000,
330,290221417,0.0,290221417,290221417,
340,86441333,0.0,86441333,86441333,
350,66605292,0.0,66605292,66605292,
360,224060375,0.0,224060375,224060375,
370,63518709,0.0,63518709,63518709,
380,97889125,0.0,97889125,97889125,
390,70438083,0.0,70438083,70438083,
400,63402709,0.0,63402709,63402709,
410,242990334,0.0,242990334,242990334,
420,87740416,0.0,87740416,87740416,
430,76883750,0.0,76883750,76883750,
440,87072625,0.0,87072625,87072625,
450,1393847500,0.0,1393847500,1393847500,
460,79526458,0.0,79526458,79526458,
470,127835292,0.0,127835292,127835292,
480,81106750,0.0,81106750,81106750,
490,62963000,0.0,62963000,62963000,
500,225199167,0.0,225199167,225199167,
510,63454333,0.0,63454333,63454333,
520,105743166,0.0,105743166,105743166,
530,69286208,0.0,69286208,69286208,
540,62225042,0.0,62225042,62225042,
550,208547667,0.0,208547667,208547667,
560,85671167,0.0,85671167,85671167,
570,116731250,0.0,116731250,116731250,
580,94330167,0.0,94330167,94330167,
590,65469459,0.0,65469459,65469459,
600,215279625,0.0,215279625,215279625,
610,63856042,0.0,63856042,63856042,
620,134181125,0.0,134181125,134181125,
630,68047542,0.0,68047542,68047542,
640,93360792,0.0,93360792,93360792,
650,189573459,0.0,189573459,189573459,
660,76085584,0.0,76085584,76085584,
670,124012250,0.0,124012250,124012250,
680,96621458,0.0,96621458,96621458,
690,62990209,0.0,62990209,62990209,
700,235187500,0.0,235187500,235187500,
710,83972875,0.0,83972875,83972875,
720,107334375,0.0,107334375,107334375,
730,68664709,0.0,68664709,68664709,
740,100865834,0.0,100865834,100865834,
750,185144708,0.0,185144708,185144708,
760,73093125,0.0,73093125,73093125,
770,130945458,0.0,130945458,130945458,
780,66691625,0.0,66691625,66691625,
790,64056917,0.0,64056917,64056917,
800,242725375,0.0,242725375,242725375,
810,98121250,0.0,98121250,98121250,
820,92153000,0.0,92153000,92153000,
830,64256875,0.0,64256875,64256875,
840,68194792,0.0,68194792,68194792,
850,112875167,0.0,112875167,112875167,
860,96176417,0.0,96176417,96176417,
870,110963334,0.0,110963334,110963334,
880,66181625,0.0,66181625,66181625,
890,60238750,0.0,60238750,60238750,
900,210679958,0.0,210679958,210679958,
910,64253833,0.0,64253833,64253833,
920,144291167,0.0,144291167,144291167,
930,61450958,0.0,61450958,61450958,
940,70712334,0.0,70712334,70712334,
950,62528625,0.0,62528625,62528625,
960,121216541,0.0,121216541,121216541,
970,69021209,0.0,69021209,69021209,
980,134181875,0.0,134181875,134181875,
990,80438792,0.0,80438792,80438792,
1000,375123625,0.0,375123625,375123625,
